Артикул;Наименование;Характеристика;Цвет;Категория;Подкатегория;пол;СС руб/шт
Uhmm0010zelcamouf;Unelle халат махровый мужской камуфляжный зеленый Лена;50-52;зеленый;Халат махровый;Дизайнерский махровый;муж;1451
Uhmw0003izu;Unelle халат махровый женский изумрудный Лена;50-52;Изумрудный;Халат махровый;Классический махровый;женский;1228
UhmW0001kup;Unelle халат махровый женский с капюшоном капучино Лена;50-52;капучино;Халат махровый;Классический махровый;женский;1631
Uhmw0003kup;Unelle халат махровый женский капучино Лена;50-52;Капучино;Халат махровый;Классический махровый;женский;1323
Uhvw0008kap;Unelle халат вафельный женский Adele капучино;50-52;Капучино;Халат вафельный;Дизайнерский вафельный;женский;1027
UhmW0014lat;Unelle халат махра-велюр женский латте;50-52;латте;Халат махровый;Дизайнерский махровый;женский;1428
Uhvw0008milk;Unelle халат вафельный женский Adele молочный;50-52;молочный;Халат вафельный;Дизайнерский вафельный;женский;1006
UhmW0008mol/gol;Unelle халат махровый женский в узкую полоску молочный/голубой Лена;50-52;молочный голубой;Халат махровый;Дизайнерский махровый;женский;1370
UhmW0012mol/gol;Unelle халат махровый женский с капюшоном в узкую полоску молочно-голубой Лена;50-52;молочный голубой;Халат махровый;Дизайнерский махровый;женский;1584
Uhvw0013mol-graf;Unelle халат жаккардовый женский Terry молочно-графитовый;50-52;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;1248
UhmW0008mol/roz;Unelle халат махровый женский в узкую полоску молочный/розовый Лена;50-52;молочный розовый;Халат махровый;Дизайнерский махровый;женский;1467
UhvW0003mint;Unelle халат вафельный женский с капюшоном мятный;50-52;мятный;Халат вафельный;Классический вафельный;женский;943
Uhvw0004mint;Unelle халат вафельный женский мятный;50-52;Мятный;Халат вафельный;Классический вафельный;женский;717
Uhmw006pbir;Unelle халат махровый женский пыльная бирюза с белым кантом Леша;50-52;пыльно-бирюзовый;Халат махровый;Дизайнерский махровый;женский;1816
UhmW0001pbor;Unelle халат махровый женский с капюшоном пыльно-бордовый Лена;50-52;пыльно-бордовый;Халат махровый;Классический махровый;женский;1569
Uhmw006proz;Unelle халат махровый женский пыльная роза с черным кантом Леша;50-52;пыльно-розовый;Халат махровый;Дизайнерский махровый;женский;1790
Uhvm0007ser-kor;Unelle халат вафельный мужской серо-коричневый с черным кантом;50-52;Серо-коричневый;Халат вафельный;Дизайнерский вафельный;мужской;759
Uhvw0004ser-kor;Unelle халат вафельный женский серо-коричневый;50-52;Серо-коричневый;Халат вафельный;Классический вафельный;женский;701
UhmW0001ser;Unelle халат махровый женский с капюшоном серый Лена;50-52;серый;Халат махровый;Классический махровый;женский;1643
Uhmw0003ser;Unelle халат махровый женский серый Лена;50-52;серый;Халат махровый;Классический махровый;женский;1187
Uhvw0007ser;Unelle халат вафельный женский серый с черным кантом;50-52;серый;Халат вафельный;Дизайнерский вафельный;женский;725
Uhvw0008ser;Unelle халат вафельный женский Adele серый;50-52;серый;Халат вафельный;Дизайнерский вафельный;женский;1031
Uhvw0008sir;Unelle халат вафельный женский Adele сиреневый;50-52;Сиреневый;Халат вафельный;Дизайнерский вафельный;женский;1027
Uhmw0003maslo;Unelle халат махровый женский сливочное масло;50-52;сливочное масло;Халат махровый;Классический махровый;женский;1232
Uhmm0010tzel;Unelle халат махровый мужской темно-зелёный Лена;50-52;темно-зелёный;Халат махровый;Классический махровый;мужской;1495
UhmM0009tsin;Unelle халат махра-велюр мужской с капюшоном темно-синий Лена;50-52;темно-синий;Халат махровый;Классический махровый;мужской;1781
Uhmm0010tsin;Unelle халат махровый мужской темно-синий Лена;50-52;темно-синий;Халат махровый;Классический махровый;мужской;1435
Uhmw006tsin;Unelle халат махровый женский темно-синий с белым кантом Леша;50-52;темно-синий;Халат махровый;Дизайнерский махровый;женский;1823
UhvM0003tsin;Unelle халат вафельный мужской с капюшоном темно-синий;50-52;темно-синий;Халат вафельный;Классический вафельный;мужской;946
Uhvm0007sin;Unelle халат вафельный мужской синий с белым кантом;50-52;темно-синий;Халат вафельный;Дизайнерский вафельный;мужской;764
Uhvw0007cher;Unelle халат вафельный женский черный с белым кантом;50-52;черный;Халат вафельный;Дизайнерский вафельный;женский;778
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;54-56;бежевый;Халат махровый;Классический махровый;женский;1251
Uhmw0003bel;Unelle халат махровый женский белый Лена;54-56;белый;Халат махровый;Классический махровый;женский;1437
UhmM0009graf;Unelle халат махра-велюр мужской с капюшоном графитовый Лена;54-56;графитовый;Халат махровый;Классический махровый;мужской;1746
Uhmm0010graf;Unelle халат махровый мужской графитовый Лена;54-56;графитовый;Халат махровый;Классический махровый;мужской;1604
UhvM0003graf;Unelle халат вафельный мужской с капюшоном графитовый;54-56;графитовый;Халат вафельный;Классический вафельный;мужской;997
Uhvm0007graf;Unelle халат вафельный мужской графитовый с белым кантом;54-56;графитовый;Халат вафельный;Дизайнерский вафельный;мужской;814
Uhmm0010zelcamouf;Unelle халат махровый мужской камуфляжный зеленый Лена;54-56;зеленый;Халат махровый;Дизайнерский махровый;муж;1532
Uhmw0003izu;Unelle халат махровый женский изумрудный Лена;54-56;Изумрудный;Халат махровый;Классический махровый;женский;1296
Uhmw0003kup;Unelle халат махровый женский капучино Лена;54-56;Капучино;Халат махровый;Классический махровый;женский;1344
